status,selected_side,stat,period,line,conditional_on_appearance,hat_m,expected_minutes,hat_p,g,mu,beta,bundle_hash,n_draws,seed,player_name,player_id,book,commence_time,quote_ts,feature_as_of,season_type,over_model_probability,over_raw_implied_probability,over_vig_free_probability,over_edge,over_ev,under_model_probability,under_raw_implied_probability,under_vig_free_probability,under_edge,under_ev,reason
PRICED,over,PTS,full_game,14.5,True,30.246252059936523,30.404247817516392,14.552579879760742,0.12287915252810674,14.675459032288849,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Collin Gillespie,1631221,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.506,0.38461538461538464,0.36041189931350115,0.14558810068649886,0.3156000000000001,0.494,0.6825396825396826,0.6395881006864989,-0.14558810068649886,-0.27623255813953496,
PRICED,over,PTS,full_game,15.5,True,34.018096923828125,34.176092681407994,18.46609115600586,0.0743639184426799,18.540455074448538,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,OG Anunoby,1628384,DraftKings,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.68,0.5169082125603864,0.487517163899638,0.19248283610036204,0.3155140186915889,0.31999999999999995,0.54337899543379,0.512482836100362,-0.1924828361003621,-0.41109243697479,
PRICED,over,PTS,full_game,15.5,True,34.018096923828125,34.176092681407994,18.46609115600586,0.0743639184426799,18.540455074448538,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,OG Anunoby,1628384,BetOnline.ag,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.68,0.5192307692307693,0.4876847290640395,0.19231527093596057,0.3096296296296298,0.31999999999999995,0.5454545454545454,0.5123152709359606,-0.19231527093596068,-0.4133333333333334,
PRICED,over,PTS,full_game,16.5,True,34.018096923828125,34.176092681407994,18.46609115600586,0.0743639184426799,18.540455074448538,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,OG Anunoby,1628384,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.62325,0.47619047619047616,0.4458598726114649,0.17739012738853505,0.308825,0.37675000000000003,0.5918367346938775,0.554140127388535,-0.177390127388535,-0.36342241379310336,
PRICED,over,PTS,full_game,22.5,True,33.81440353393555,33.972399291515416,23.20493507385254,0.1280203400202326,23.33295541387277,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Dillon Brooks,1628415,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.5335,0.40816326530612246,0.3838517538054269,0.14964824619457306,0.307075,0.4665,0.6551724137931034,0.6161482461945731,-0.14964824619457306,-0.2879736842105264,
PRICED,over,PTS,full_game,9.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,BetRivers,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.7325,0.5633187772925764,0.523767082590612,0.20873291740938804,0.30032945736434113,0.26749999999999996,0.5121951219512195,0.47623291740938806,-0.2087329174093881,-0.47773809523809535,
PRICED,over,PTS,full_game,13.5,True,19.82642364501953,20.02920949085877,13.143952369689941,-0.012136382169332539,13.131815987520609,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Brandon Williams,1630314,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.47225,0.36363636363636365,0.33999999999999997,0.13225000000000003,0.2986875000000001,0.5277499999999999,0.7058823529411765,0.66,-0.1322500000000001,-0.25235416666666666,
PRICED,over,PTS,full_game,9.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.7325,0.5652173913043478,0.5306122448979592,0.20188775510204082,0.2959615384615385,0.26749999999999996,0.5,0.4693877551020409,-0.20188775510204093,-0.4650000000000001,
PRICED,over,PTS,full_game,9.5,True,26.756629943847656,26.735882449720677,11.537163734436035,0.03702039253973528,11.574184126975771,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Julian Champagnie,1630577,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.617,0.47619047619047616,0.4458598726114649,0.17114012738853507,0.2957000000000001,0.383,0.5918367346938775,0.554140127388535,-0.171140127388535,-0.3528620689655172,
PRICED,over,PTS,full_game,21.5,True,33.81440353393555,33.972399291515416,23.20493507385254,0.1280203400202326,23.33295541387277,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Dillon Brooks,1628415,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.5885,0.45454545454545453,0.4248366013071895,0.16366339869281055,0.2947000000000002,0.4115,0.6153846153846154,0.5751633986928104,-0.16366339869281044,-0.3313125,
